"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
'Hardwired', 'For Whom the Bell Tolls', 'Fade to Black', 'The Memory Remains', 'The Unforgiven', 'Wherever I May Roam', 'Sad But True', 'One', 'Master of Puppets', 'Nothing Else Matters', 'Enter Sandman'
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiskey in the Jar', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Of Wolf and Man', 'The Day That Never Comes', ""Now That We're Dead"", 'ManUNkind', 'For Whom the Bell Tolls', 'Halo On Fire', 'Stone Cold Crazy', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Blitzkrieg', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiskey in the Jar', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
